id,ID,X,Y,ELEVATION,NAME,FNAME,STATION_TYP,geometry
myGeographyPortal.686,P3PELH01,15.2344,49.4336,520.0,Pelhřimov,Pelhřimov,MSS,POINT (15.2344 49.4336)
myGeographyPortal.687,P3POLN01,15.7061,49.4864,480.0,Polná,Polná,MSS,POINT (15.7061 49.4864)
myGeographyPortal.688,P3POST01,14.7833,49.7306,421.0,Postupice,Postupice,MSS,POINT (14.7833 49.7306)
myGeographyPortal.690,P3PSAR01,14.9678,49.7536,475.0,Psáře,Psáře,MSS,POINT (14.9678 49.7536)
myGeographyPortal.691,P3REND01,15.08814,49.76873,444.0,Řendějov,"Řendějov, Nový Samechov",MSS,POINT (15.08814 49.76873)
myGeographyPortal.692,P3RICA01,14.6717,50.0003,385.0,Říčany,Říčany,MSS,POINT (14.6717 50.0003)
myGeographyPortal.693,P3SAZA01,14.901245,49.876432,350.0,Sázava,Sázava,MSS,POINT (14.901245 49.876432)
myGeographyPortal.694,P3SIMA01,15.4486,49.4614,630.0,Šimanov,Šimanov,MSS,POINT (15.4486 49.4614)
myGeographyPortal.697,P3STOK02,15.590556,49.501389,520.0,Štoky,Štoky,MSS,POINT (15.590556 49.501389)
myGeographyPortal.698,P3STRE01,14.6181,49.5381,588.0,Střezimíř,Střezimíř,MSS,POINT (14.6181 49.5381)
myGeographyPortal.699,P3SVET01,15.4075,49.6728,410.0,Světlá nad Sázavou,Světlá nad Sázavou,MSS,POINT (15.4075 49.6728)
myGeographyPortal.700,P3VELI01,14.8233,49.6664,451.0,Veliš,Veliš,MSS,POINT (14.8233 49.6664)
myGeographyPortal.702,P3VOTI01,14.6333,49.6433,450.0,Votice,Votice,MSS,POINT (14.6333 49.6433)
myGeographyPortal.703,P3ZAHR01,14.5886,49.7325,358.0,Maršovice,"Maršovice, Zahrádka",MSS,POINT (14.5886 49.7325)
myGeographyPortal.717,U1BILI01,13.775657,50.539526,270.0,Bílina,Bílina,MSS,POINT (13.775657 50.539526)
myGeographyPortal.718,U1BOLR01,13.415082,50.537395,600.0,Boleboř,Boleboř,MSS,POINT (13.415082 50.537395)
myGeographyPortal.720,U1CEJI01,13.58558,50.68706,740.0,Český Jiřetín,"Český Jiřetín, Fláje",MSS,POINT (13.58558 50.68706)
myGeographyPortal.721,U1CHOM01,13.39711,50.46225,362.0,Chomutov,Chomutov,MSS,POINT (13.39711 50.46225)
myGeographyPortal.722,U1CITO01,13.8164,50.3361,235.0,Cítoliby,Cítoliby,MSS,POINT (13.8164 50.3361)
myGeographyPortal.723,U1DLAZ01,13.95222,50.47,278.0,Dlažkovice,Dlažkovice,MSS,POINT (13.95222 50.47)
myGeographyPortal.726,U1HORB01,14.465,50.3422,158.0,Hořín,Hořín,MSS,POINT (14.465 50.3422)
myGeographyPortal.729,U1JILO01,14.10183,50.76642,310.0,Jílové,Jílové,MSS,POINT (14.10183 50.76642)
myGeographyPortal.733,U1KRIM01,13.31453,50.499,570.0,Křimov,Křimov,MSS,POINT (13.31453 50.499)
myGeographyPortal.735,U1LUKO01,13.88453,50.52756,502.0,Lukov,Lukov,MSS,POINT (13.88453 50.52756)
myGeographyPortal.742,U1PAST01,13.38189,50.07036,470.0,Velečín,"Velečín, Pastuchovice",MSS,POINT (13.38189 50.07036)
myGeographyPortal.744,U1PERU01,13.9542,50.3386,350.0,Peruc,Peruc,MSS,POINT (13.9542 50.3386)
myGeographyPortal.745,U1ROUL01,14.25439,50.42622,175.0,Roudnice nad Labem,Roudnice nad Labem,MSS,POINT (14.25439 50.42622)
myGeographyPortal.751,U1TELN01,13.964611,50.725083,340.0,Telnice,"Telnice, Varvažov",MSS,POINT (13.964611 50.725083)
myGeographyPortal.757,U1VYSL01,13.23853,50.46428,738.0,Výsluní,Výsluní,MSS,POINT (13.23853 50.46428)
myGeographyPortal.760,U2BENP01,14.31186,50.74422,250.0,Benešov nad Ploučnicí,Benešov nad Ploučnicí,MSS,POINT (14.31186 50.74422)
myGeographyPortal.761,U2CEKA01,14.42017,50.80283,319.0,Česká Kamenice,Česká Kamenice,MSS,POINT (14.42017 50.80283)
myGeographyPortal.764,U2CHRI01,14.52456,50.85289,440.0,Chřibská,"Chřibská, Horní Chřibská",MSS,POINT (14.52456 50.85289)
myGeographyPortal.769,U2DUBA01,14.555594,50.536399,258.0,Dubá,"Dubá, Nedamov",MSS,POINT (14.555594 50.536399)
myGeographyPortal.776,U2LITM01,14.119889,50.532111,172.5,Litoměřice,Litoměřice,MSS,POINT (14.119889 50.532111)
myGeographyPortal.777,U2LOBE01,14.31347,51.01965,350.0,Lobendava,Lobendava,MSS,POINT (14.31347 51.01965)
myGeographyPortal.779,U2MFOJ01,15.05856,50.82725,395.0,Mníšek,"Mníšek, Fojtka",MSS,POINT (15.05856 50.82725)
myGeographyPortal.784,U2RUMB01,14.57086,50.95156,390.0,Rumburk,Rumburk,MSS,POINT (14.57086 50.95156)
myGeographyPortal.788,U2USHA01,14.30925,50.59617,280.0,Úštěk,"Úštěk, Habřina",MSS,POINT (14.30925 50.59617)
myGeographyPortal.791,U2VYSO01,14.537361,50.411611,300.0,Vysoká,Vysoká,MSS,POINT (14.537361 50.411611)
myGeographyPortal.545,O2MEHL01,17.037966,49.782412,268.0,Medlov,"Medlov, Hlivice",MKS,POINT (17.037966 49.782412)
myGeographyPortal.607,P1PKLM01,14.416436,50.086341,190.7,Praha,"Praha, Klementinum",MKS,POINT (14.416436 50.086341)
myGeographyPortal.138,B4HERA01,15.960258,49.694406,685.0,Herálec,Herálec,ASNS,POINT (15.960258 49.694406)
