id,ID,X,Y,ELEMENT,ELEVATION,NAME,FNAME,geometry
myGeographyElementsPortal.669,P1PKBE01,14.538056,50.123333,P,284.5,Praha,"Praha, Kbely",POINT (14.538056 50.123333)
myGeographyElementsPortal.670,C1KOCE01,13.838611,49.467222,P,519.0,Kocelovice,Kocelovice,POINT (13.838611 49.467222)
myGeographyElementsPortal.671,L2PRIM01,12.678056,49.669444,P,742.76,Přimda,Přimda,POINT (12.678056 49.669444)
myGeographyElementsPortal.672,H1PECS01,15.728889,50.691944,P,816.3,Pec pod Sněžkou,Pec pod Sněžkou,POINT (15.728889 50.691944)
myGeographyElementsPortal.673,U1ULKO01,14.04111,50.68333,P,375.39,Ústí nad Labem,"Ústí nad Labem, Kočkov",POINT (14.04111 50.68333)
myGeographyElementsPortal.674,H2USTI01,16.422222,49.980278,P,401.7,Ústí nad Orlicí,Ústí nad Orlicí,POINT (16.422222 49.980278)
myGeographyElementsPortal.675,B2BTUR01,16.688889,49.153056,P,241.0,Brno,"Brno, Tuřany",POINT (16.688889 49.153056)
myGeographyElementsPortal.676,B1HOLE01,17.57,49.320556,P,222.25,Holešov,Holešov,POINT (17.57 49.320556)
myGeographyElementsPortal.677,H3CHTU01,15.386389,49.940833,P,238.2,Chotusice,"Chotusice, letiště",POINT (15.386389 49.940833)
myGeographyElementsPortal.678,H2POLO01,16.322222,50.350278,P,747.24,Polom,"Polom, Sedloňov",POINT (16.322222 50.350278)
myGeographyElementsPortal.679,C1CHUR01,13.615278,49.068333,P,1117.8,Churáňov,Churáňov,POINT (13.615278 49.068333)
myGeographyElementsPortal.680,L3KVAL01,12.914167,50.201667,P,603.0,Karlovy Vary,"Karlovy Vary, Olšová Vrata",POINT (12.914167 50.201667)
myGeographyElementsPortal.681,L1PLMI01,13.378889,49.764722,P,359.8,Plzeň,"Plzeň, Mikulka",POINT (13.378889 49.764722)
myGeographyElementsPortal.682,C1TEME01,14.342222,49.197778,P,500.0,Temelín,Temelín,POINT (14.342222 49.197778)
myGeographyElementsPortal.683,U1KATU01,13.32806,50.37667,P,322.4,Tušimice,Tušimice,POINT (13.32806 50.37667)
myGeographyElementsPortal.1,O1KRNO01,17.6922,50.078,F,360.0,Krnov,Krnov,POINT (17.6922 50.078)
myGeographyElementsPortal.2,O1KRNO01,17.6922,50.078,F,360.0,Krnov,Krnov,POINT (17.6922 50.078)
myGeographyElementsPortal.3,O1OSOB01,17.7135,50.2709,F,238.0,Osoblaha,Osoblaha,POINT (17.7135 50.2709)
myGeographyElementsPortal.4,O1OSOB01,17.7135,50.2709,F,238.0,Osoblaha,Osoblaha,POINT (17.7135 50.2709)
myGeographyElementsPortal.5,B2DYJA01,16.2992,48.7733,F,201.0,Dyjákovice,Dyjákovice,POINT (16.2992 48.7733)
myGeographyElementsPortal.6,B2DYJA01,16.2992,48.7733,F,201.0,Dyjákovice,Dyjákovice,POINT (16.2992 48.7733)
myGeographyElementsPortal.7,O1FREN01,18.240568,49.541055,F,436.0,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,POINT (18.240568 49.541055)
myGeographyElementsPortal.8,O1FREN01,18.240568,49.541055,F,436.0,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,POINT (18.240568 49.541055)
myGeographyElementsPortal.9,H2BORH01,16.086691,50.105254,F,254.0,Borohrádek,Borohrádek,POINT (16.086691 50.105254)
myGeographyElementsPortal.10,O3VASE01,18.126944,49.240278,F,615.0,Valašská Senice,Valašská Senice,POINT (18.126944 49.240278)
myGeographyElementsPortal.11,O3VASE01,18.126944,49.240278,F,615.0,Valašská Senice,Valašská Senice,POINT (18.126944 49.240278)
myGeographyElementsPortal.12,C1VOLR01,13.88657,48.90881,F,749.0,Volary,Volary,POINT (13.88657 48.90881)
myGeographyElementsPortal.13,C1VOLR01,13.88657,48.90881,F,749.0,Volary,Volary,POINT (13.88657 48.90881)
myGeographyElementsPortal.14,O1KARV01,18.5332,49.8549,F,224.0,Karviná,Karviná,POINT (18.5332 49.8549)
myGeographyElementsPortal.15,O1KARV01,18.5332,49.8549,F,224.0,Karviná,Karviná,POINT (18.5332 49.8549)
myGeographyElementsPortal.16,O1BOHU01,18.3692,49.882,F,237.0,Bohumín,"Bohumín, Záblatí",POINT (18.3692 49.882)
myGeographyElementsPortal.17,O1BOHU01,18.3692,49.882,F,237.0,Bohumín,"Bohumín, Záblatí",POINT (18.3692 49.882)
myGeographyElementsPortal.18,O2TREB01,16.6969,49.8158,F,375.0,Třebařov,Třebařov,POINT (16.6969 49.8158)
myGeographyElementsPortal.19,O2TREB01,16.6969,49.8158,F,375.0,Třebařov,Třebařov,POINT (16.6969 49.8158)
myGeographyElementsPortal.20,L1DOMA01,12.922385,49.444716,F,458.0,Domažlice,Domažlice,POINT (12.922385 49.444716)
myGeographyElementsPortal.21,L1DOMA01,12.922385,49.444716,F,458.0,Domažlice,Domažlice,POINT (12.922385 49.444716)
myGeographyElementsPortal.22,U1TEPL01,13.836344,50.645153,F,227.0,Teplice,Teplice,POINT (13.836344 50.645153)
myGeographyElementsPortal.23,U1TEPL01,13.836344,50.645153,F,227.0,Teplice,Teplice,POINT (13.836344 50.645153)
myGeographyElementsPortal.24,H3MOKO01,15.56668,50.016395,F,255.0,Mokošín,Mokošín,POINT (15.56668 50.016395)
myGeographyElementsPortal.25,L1STAN01,13.067369,49.552537,F,362.0,Staňkov,Staňkov,POINT (13.067369 49.552537)
myGeographyElementsPortal.26,L1STAN01,13.067369,49.552537,F,362.0,Staňkov,Staňkov,POINT (13.067369 49.552537)
myGeographyElementsPortal.27,C1VACP01,13.72,49.1336,F,738.0,Vacov,"Vacov, Peckov",POINT (13.72 49.1336)
myGeographyElementsPortal.28,L3AS0001,12.179572,50.220602,F,675.0,Aš,Aš,POINT (12.179572 50.220602)
myGeographyElementsPortal.29,L3AS0001,12.179572,50.220602,F,675.0,Aš,Aš,POINT (12.179572 50.220602)
myGeographyElementsPortal.30,O1VITK01,17.757308,49.778037,F,491.0,Vítkov,Vítkov,POINT (17.757308 49.778037)
myGeographyElementsPortal.31,O1VITK01,17.757308,49.778037,F,491.0,Vítkov,Vítkov,POINT (17.757308 49.778037)
myGeographyElementsPortal.32,O1RYMA01,17.296111,49.931389,F,578.0,Rýmařov,Rýmařov,POINT (17.296111 49.931389)
myGeographyElementsPortal.33,O1RYMA01,17.296111,49.931389,F,578.0,Rýmařov,Rýmařov,POINT (17.296111 49.931389)
myGeographyElementsPortal.34,H1VRCH01,15.646389,50.622778,F,482.0,Vrchlabí,Vrchlabí,POINT (15.646389 50.622778)
myGeographyElementsPortal.35,H1VRCH01,15.646389,50.622778,F,482.0,Vrchlabí,Vrchlabí,POINT (15.646389 50.622778)
myGeographyElementsPortal.36,B2BZAB01,16.5677,49.2165,F,236.0,Brno,"Brno, Žabovřesky",POINT (16.5677 49.2165)
myGeographyElementsPortal.37,B2BZAB01,16.5677,49.2165,F,236.0,Brno,"Brno, Žabovřesky",POINT (16.5677 49.2165)
